Week;El_App_WT
4922;73.31539
4923;80.22574
4924;71.73933
4925;72.47702
4926;87.13810
4927;91.44822
4928;83.39299
4929;106.40287
4930;121.23674
4931;121.91363
4932;143.05578
4933;144.41112
4934;138.84490
4935;128.61916
4936;131.07560
4937;137.05618
4938;106.17100
4939;117.04235
4940;136.15330
4941;134.37101
4942;137.91950
4943;127.20511
4944;124.69541
4945;143.57999
4946;155.32268
4947;148.79040
4948;158.19898
4949;171.73677
4950;171.03005
4951;163.49510
4952;166.87044
4953;150.58056
4954;130.79885
4955;136.76022
4956;145.13838
4957;149.25810
4958;165.39151
4959;159.42140
4960;146.64193
4961;133.41106
4962;132.81727
4963;141.58332
4964;131.34038
4965;126.00416
4966;116.15180
4967;124.94116
4968;123.13501
4969;94.67371
4970;74.65494
4971;79.47282
4972;61.50077
4973;44.28507
4974;21.21965
4975;36.76888
4976;37.23217
4977;53.56720
4978;56.15028
4979;68.51236
4980;79.08890
4981;75.86565
4982;80.03883
4983;74.46342
4984;56.03796
4985;50.60622
4986;44.20538
4987;46.83856
4988;40.42722
4989;38.99231
4990;36.22009
4991;52.20059
4992;56.62614
4993;54.05555
4994;31.89760
4995;37.96426
4996;57.08073
4997;60.23919
4998;92.52228
4999;91.01950
5000;90.63496
5001;74.59364
5002;47.15881
5003;28.20154
5004;27.03096
5005;31.06168
5006;37.66664
5007;32.41084
5008;32.30371
5009;45.55479
5010;34.97645
5011;19.07744
5012;11.74302
5013;39.66035
5014;62.55432
5015;64.14671
5016;70.71186
5017;47.27333
5018;49.46065
5019;37.80009
5020;14.78231
5021;10.08312
5022;28.40877
5023;48.76968
5024;49.33776
5025;38.70900
5026;14.31808
5027;26.93516
5028;36.88291
5029;33.47533
5030;44.80037
5031;50.59749
5032;46.80898
5033;40.56816
5034;47.39912
5035;42.86309
5036;40.00786
5037;59.14585
5038;42.02262
5039;49.54811
5040;53.13959
5041;68.64812
5042;69.40471
5043;64.67512
5044;74.09935
5045;61.50597
5046;63.33247
5047;64.13455
5048;87.27909
5049;66.26235
5050;74.29285
5051;93.52582
5052;105.77498
5053;115.09238
5054;123.84825
5055;119.46862
5056;110.95828
5057;126.65893
5058;124.52267
5059;106.96373
5060;95.40432
5061;106.98482
5062;121.37429
5063;132.13632
5064;146.01400
5065;150.59349
5066;113.87621
5067;104.04335
5068;102.81977
5069;113.53401
5070;116.41403
5071;133.15962
5072;113.35455
5073;91.76058
5074;60.29775
